user_id,video_id,date,tab,is_click,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,is_like,is_follow,is_comment,is_forward,is_hate,long_view
131,130,20220423,4,1,8741,18829,3809,512,0,0,0,0,0,0
74,73,20220425,2,1,7823,14865,894,1421,0,0,0,0,0,0
36,46,20220501,1,0,18442,17456,1453,93,0,0,0,0,0,0
160,76,20220424,6,1,16483,13127,2701,1327,0,0,0,0,0,0
74,10,20220507,12,1,2663,2131,1812,1911,0,0,0,0,0,0
153,97,20220506,4,0,2482,5238,1055,1001,0,0,0,0,0,0
73,129,20220429,12,1,8578,8324,1594,1729,1,0,0,0,0,0
45,71,20220424,13,0,2788,7956,1432,1218,1,0,0,0,0,0
174,12,20220429,4,0,3972,10707,1036,857,0,0,0,0,0,0
161,120,20220423,7,1,10328,9887,865,1696,0,0,0,0,0,0
186,137,20220423,7,0,731,2099,4267,694,0,0,0,0,0,0
141,104,20220426,1,0,12022,13317,2959,1021,0,0,0,0,0,0
178,25,20220505,5,0,1599,4987,4986,1981,0,0,0,0,0,0
77,141,20220426,10,0,1082,1718,2161,339,0,0,0,0,0,0
23,46,20220424,9,1,10705,14254,960,1837,0,0,0,0,0,0
50,114,20220503,4,1,5731,4585,736,898,0,1,0,0,0,0
170,135,20220430,9,1,9544,15728,2488,1139,0,1,0,0,0,0
85,42,20220423,4,1,9187,16988,4537,275,0,0,0,0,0,0
36,107,20220428,11,0,790,1116,2454,1074,0,0,0,0,0,0
193,121,20220428,14,0,1222,2579,3793,244,0,0,0,0,0,0
113,103,20220430,1,0,2613,2640,1495,854,0,0,0,0,0,0
199,50,20220501,1,0,6845,12103,369,1792,0,0,0,0,0,0
116,41,20220422,2,0,5575,14227,2893,640,0,0,0,0,0,0
6,35,20220503,11,1,2479,2109,4084,1230,0,0,0,0,0,0
95,145,20220504,8,1,12049,10513,2163,214,0,0,0,0,0,0
67,54,20220507,8,1,6665,6006,3451,115,0,0,0,0,0,1
81,148,20220429,12,1,8589,10931,2751,423,0,0,0,0,0,0
98,146,20220422,12,0,602,1212,3309,551,0,0,0,0,0,0
90,105,20220504,11,0,4231,8596,3598,1121,0,0,0,0,0,0
48,47,20220503,14,1,8875,18915,2801,1987,0,0,0,0,0,0
190,72,20220424,12,0,5977,18553,4562,623,0,0,0,0,0,1
185,130,20220502,1,0,5002,7182,3003,1855,0,0,0,0,0,0
23,143,20220422,1,0,6304,15919,3531,223,0,0,0,0,0,1
16,141,20220425,13,0,6796,14124,3694,1843,0,0,0,0,0,0
105,25,20220503,0,1,1959,3080,175,668,0,0,0,0,0,0
26,101,20220504,14,0,3102,8159,121,631,0,0,0,0,0,0
53,72,20220427,12,1,23270,19982,995,1978,0,0,0,0,0,0
193,27,20220422,7,0,5649,9471,699,861,0,0,0,0,0,0
15,140,20220502,11,1,10785,19557,1117,1423,0,0,0,0,0,0
191,52,20220506,12,1,15525,12201,176,201,0,0,0,0,0,1
190,68,20220505,1,0,10207,15397,1199,1321,0,0,0,0,0,0
78,142,20220504,10,0,4370,6115,3598,1307,0,0,0,0,0,1
112,129,20220427,13,1,7626,12560,352,1160,0,0,0,0,0,0
32,136,20220428,11,0,4461,9551,2424,1950,0,0,0,0,0,0
166,55,20220427,8,1,11171,9433,355,515,0,0,0,0,0,0
116,116,20220507,14,1,10043,9230,28,1807,0,0,0,0,0,1
42,67,20220428,7,0,5662,9430,3411,1577,0,0,0,0,0,1
193,137,20220508,1,0,5814,15280,4379,1913,0,0,0,0,0,0
120,25,20220507,1,1,4067,9178,3115,1428,0,0,0,0,0,1
46,111,20220504,13,1,8190,17271,778,466,1,0,1,0,0,1
51,91,20220507,3,0,2215,2230,890,694,0,0,1,0,0,0
7,71,20220508,13,1,15816,18450,4233,1015,0,0,0,0,0,0
190,141,20220505,4,1,11824,13719,575,315,0,0,0,0,0,0
4,142,20220503,2,1,8449,12427,2998,413,0,0,0,0,0,0
185,36,20220424,8,0,1635,3111,3635,1389,0,0,0,0,0,1
141,52,20220503,10,0,5558,13089,4213,1300,0,0,0,0,0,1
54,49,20220424,6,1,11458,9938,4166,1000,0,0,0,0,0,0
122,143,20220501,5,0,1633,1940,3228,1843,1,0,0,0,0,0
195,134,20220425,10,1,6160,4832,1382,1811,0,0,0,0,0,1
157,47,20220428,10,1,1745,1486,181,1190,0,0,0,0,0,1
17,77,20220503,9,1,16134,19133,3871,1945,0,0,0,0,0,0
174,128,20220423,8,0,5367,6534,4362,901,0,0,0,0,0,0
48,2,20220502,0,1,4360,4095,3560,390,0,0,0,0,0,1
165,16,20220422,13,0,2307,2700,414,392,0,0,0,0,0,0
181,140,20220424,5,1,3100,2403,1511,1503,0,0,0,0,0,0
177,113,20220506,0,0,8701,10109,2368,618,0,0,0,0,0,0
89,52,20220506,4,1,14171,12836,1985,407,1,0,0,0,0,1
110,105,20220504,7,0,3187,6649,3041,1319,0,0,0,0,0,1
135,96,20220507,11,0,6336,8916,3871,1867,1,0,0,0,0,1
173,74,20220422,3,1,9098,8670,4111,1794,0,0,0,0,0,0
160,108,20220429,3,0,5344,6156,255,358,0,0,0,0,0,0
187,53,20220501,13,1,16677,12951,939,544,0,0,0,0,0,0
162,10,20220508,11,1,8072,7291,4320,383,0,0,0,0,0,0
114,134,20220503,5,0,3935,10522,3983,197,0,0,0,0,0,0
58,48,20220504,5,1,11241,14900,2465,750,0,0,0,0,0,1
145,124,20220506,1,0,5478,8883,3767,560,1,0,0,0,0,0
148,74,20220426,10,1,17398,18528,2716,1998,0,0,0,0,0,0
148,128,20220506,3,1,8518,7144,4833,81,0,0,0,0,0,1
108,94,20220502,11,1,3390,3253,1284,888,0,0,0,0,0,0
179,124,20220507,1,0,4157,3353,2559,1103,0,0,0,0,0,0
166,7,20220429,4,0,2345,3865,513,1753,0,0,0,0,0,0
178,103,20220503,3,1,15349,19426,3767,1473,0,0,1,0,0,0
16,114,20220508,13,0,1920,2225,3273,86,0,0,0,0,0,1
74,82,20220426,6,0,774,1023,1068,1786,0,0,0,0,0,1
50,117,20220428,10,1,7753,6514,208,706,0,0,0,0,0,1
53,121,20220501,10,1,9393,8740,4007,1774,0,0,0,0,0,0
25,34,20220422,8,1,7375,8961,116,594,0,0,0,0,0,1
103,107,20220504,6,0,4588,10708,338,470,0,0,0,0,0,0
99,56,20220507,11,1,5484,5448,426,1765,0,0,0,0,0,0
142,111,20220426,11,1,12549,18047,3600,1106,0,0,0,0,0,0
89,27,20220504,3,1,13480,12377,2840,939,0,0,0,0,0,0
139,66,20220423,0,0,2990,2400,3085,111,0,0,0,0,0,0
165,96,20220501,5,1,15011,12309,3739,849,0,0,0,0,0,0
126,27,20220501,7,1,17238,17265,3097,890,0,0,0,0,0,1
152,92,20220424,2,1,10144,11942,3369,1409,0,0,0,0,0,0
186,126,20220503,12,1,7973,7701,1754,30,0,0,1,0,0,0
157,68,20220427,14,1,22476,18764,4819,930,0,0,0,0,0,0
104,13,20220425,1,0,11269,9123,1362,996,0,0,0,0,0,0
127,13,20220508,4,1,14404,18486,1436,534,0,0,0,0,0,0
168,7,20220428,6,1,14260,11620,3476,323,0,0,0,0,0,1
117,11,20220422,14,1,13093,19623,4083,744,0,0,1,0,0,0
2,72,20220508,13,1,16207,12585,1263,1045,1,0,0,0,0,1
167,92,20220426,10,0,3959,6790,3781,1566,0,0,0,0,0,0
130,91,20220427,12,0,2292,2761,4377,1597,0,0,0,0,0,1
166,99,20220424,6,1,5368,5324,2334,1225,0,0,0,0,0,0
198,135,20220507,10,1,13181,17883,4293,1122,0,0,0,0,0,0
43,12,20220507,7,0,5736,7137,4872,1127,0,0,0,0,0,1
120,51,20220428,14,0,2877,4500,1703,969,0,0,0,0,0,0
198,31,20220422,3,0,5471,13198,4259,289,0,0,0,0,0,1
180,140,20220422,3,1,7476,16318,71,584,0,0,0,0,0,0
164,48,20220429,12,0,2574,2873,4571,860,0,0,0,0,0,0
23,77,20220504,10,1,10925,14300,1383,667,0,0,0,0,0,1
103,88,20220428,5,1,8222,10391,2354,400,0,0,1,0,0,1
151,49,20220508,4,1,2112,1629,1577,323,1,0,0,0,0,0
20,60,20220506,7,0,6211,14428,1838,1451,0,0,0,0,0,0
171,95,20220425,10,0,2726,3453,3975,58,0,0,1,0,0,0
196,137,20220430,4,1,15110,18005,1376,1501,0,0,0,0,0,0
70,85,20220502,14,0,3706,4730,611,435,0,0,0,0,0,0
142,73,20220424,2,1,16428,16618,1127,306,0,0,0,0,0,0
22,35,20220423,1,0,5057,4345,4985,1212,0,0,0,0,0,1
64,29,20220507,1,0,2453,7048,1322,428,0,0,0,0,0,0
180,81,20220508,9,1,9601,11785,2887,1599,0,0,0,0,0,0
16,55,20220423,12,1,13895,12775,4901,249,0,0,0,0,0,0
28,29,20220507,1,0,7248,8347,3447,1643,0,0,0,0,0,0
149,61,20220426,6,0,6048,14628,1907,983,0,0,1,0,0,1
196,124,20220502,0,0,6141,4777,955,1383,0,0,0,0,0,0
89,14,20220508,10,1,12660,11818,3043,1075,0,0,0,0,0,0
162,121,20220501,12,0,6446,6553,2902,1056,0,0,0,0,0,0
41,43,20220503,7,1,10904,10078,3192,308,0,0,0,0,0,0
92,94,20220507,13,1,11177,15500,570,794,0,0,0,0,0,1
88,28,20220506,10,0,3729,10286,1278,984,0,0,0,0,0,0
27,99,20220508,14,1,15879,18218,1851,1404,0,0,0,0,0,0
88,15,20220427,9,1,20023,17847,45,1150,0,0,0,0,0,0
16,15,20220508,7,1,3833,2964,2527,920,0,0,0,0,0,0
98,49,20220508,8,1,17610,17501,4844,1913,0,0,0,0,0,0
85,104,20220427,4,1,15779,14833,3184,502,0,0,0,0,0,0
193,7,20220501,2,0,2132,4576,3656,574,0,0,1,0,0,0
64,24,20220503,12,1,13652,19199,3998,1479,0,0,0,0,0,0
65,34,20220508,2,0,4953,5745,4727,1991,0,0,0,0,0,1
197,123,20220504,13,1,9081,17363,2651,1093,0,0,0,0,0,0
166,75,20220425,9,1,15600,13863,562,1973,0,0,0,0,0,0
108,126,20220426,2,1,7597,13755,3929,244,0,0,0,0,0,0
24,74,20220501,11,0,3944,10535,1363,1097,0,0,0,0,0,0
194,144,20220505,0,0,9025,9591,658,798,0,0,0,0,0,0
35,33,20220425,8,0,5307,15785,3063,195,0,0,0,0,0,0
180,67,20220501,11,1,13045,13188,3525,1694,0,0,0,0,0,0
116,70,20220506,5,1,23223,18680,1046,1700,0,0,0,0,0,0
99,95,20220423,7,1,6109,5230,3108,1965,0,0,0,0,0,0
