user_id,video_id,date,tab,is_click,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,is_like,is_follow,is_comment,is_forward,is_hate,long_view,video_features_statistic_play_count
180,132,20220419,3,1,15762,18756,433,479,0,0,0,0,0,0,13288
112,27,20220416,8,1,17069,19095,1685,1213,0,0,0,0,0,0,75547
168,114,20220415,7,1,2600,2284,667,1294,0,0,0,0,0,0,97280
21,99,20220411,14,1,8881,10254,4413,425,0,0,0,0,0,1,40053
69,63,20220412,6,0,6755,11453,1580,1971,1,0,0,0,0,0,27629
0,55,20220408,11,1,11165,14116,2429,1112,0,0,0,0,0,0,45399
2,128,20220409,6,1,9757,7841,277,1593,0,0,0,0,0,0,90676
83,86,20220408,12,1,7484,9006,727,1515,0,0,0,0,0,0,36585
30,25,20220410,12,0,4616,5056,3114,1844,0,0,0,0,0,0,67136
22,45,20220419,8,1,18666,17043,4299,1646,0,0,0,0,0,1,36008
167,86,20220417,4,0,4196,9612,1174,1458,0,0,0,0,0,0,11339
65,5,20220420,9,1,13421,14834,2050,1903,0,0,0,0,0,1,50393
123,83,20220415,7,1,10636,16162,4881,60,0,0,0,0,0,0,38786
110,142,20220416,9,0,3326,4374,310,592,0,0,0,0,0,0,82365
68,80,20220421,5,0,3878,4783,2492,1056,0,0,0,0,0,0,99545
18,63,20220418,3,1,13940,16376,1659,1279,0,0,0,0,0,1,91864
79,79,20220416,4,0,1747,4461,4110,1389,0,0,0,0,0,0,67860
181,67,20220415,9,0,2557,7023,3889,694,0,0,0,0,0,1,29224
22,124,20220415,12,1,19694,16551,57,590,0,0,0,0,0,0,18439
138,132,20220421,14,1,18491,15983,4750,224,0,1,0,0,0,0,15105
174,136,20220411,2,1,13641,19357,4542,1244,0,0,0,0,0,0,80294
77,43,20220419,11,1,8704,8213,1631,689,0,0,0,0,0,0,1934
53,107,20220417,4,1,4888,4420,3600,1827,0,0,0,0,0,0,53095
16,125,20220408,5,1,7275,13624,2565,547,0,0,0,0,0,0,43764
95,137,20220413,12,1,12855,18326,920,1172,0,0,0,0,0,0,72208
52,9,20220420,10,0,6729,8512,3548,1446,0,0,0,0,0,1,6685
121,83,20220415,1,0,10053,19453,1336,22,0,0,0,0,0,0,98133
146,90,20220408,4,1,9944,16697,3489,1673,0,0,0,0,0,0,41350
43,0,20220418,9,1,13662,11752,4645,1559,0,0,0,0,0,1,57084
191,11,20220418,14,0,6759,8664,2317,785,0,0,0,0,0,0,19852
76,80,20220419,10,0,4175,11590,1399,311,0,0,0,0,0,0,5185
79,97,20220410,3,1,7644,18406,3311,882,0,0,0,0,0,0,2042
63,52,20220409,10,0,1922,5204,534,81,0,0,0,0,0,0,15709
143,29,20220420,13,0,3808,8005,3424,1591,0,0,0,0,0,0,74157
48,132,20220408,13,1,6800,5773,3946,1096,1,0,0,0,0,0,32393
31,4,20220415,13,1,7340,10753,1894,1205,0,0,0,0,0,0,78444
32,8,20220409,2,1,14199,17132,1661,1118,0,0,0,0,0,0,54540
58,92,20220412,2,0,2805,5457,304,1268,0,0,0,0,0,0,15935
89,61,20220414,11,0,1348,2333,4846,228,0,0,0,0,0,1,59105
94,48,20220413,9,1,7282,7472,3458,1672,0,0,0,0,0,1,74260
86,54,20220413,6,0,6189,17583,197,1105,0,0,0,0,0,0,90591
115,110,20220408,3,1,9707,18537,548,498,0,0,0,0,0,0,65707
172,63,20220408,8,1,13901,12261,2600,945,0,0,0,0,0,0,87854
171,14,20220409,13,0,1016,2401,2114,1784,0,0,0,0,0,0,13034
71,79,20220408,13,0,3960,10101,2345,755,0,0,0,0,0,0,13230
86,141,20220417,6,0,5073,8136,71,93,0,0,0,0,0,0,19607
57,3,20220415,0,0,2303,4675,1502,1153,0,0,0,0,0,0,42116
33,52,20220417,0,1,4699,5298,4621,1096,0,0,0,0,0,1,88757
71,148,20220411,3,0,3514,6391,2899,923,0,0,0,0,0,0,88752
29,106,20220416,7,1,10633,15993,269,1127,0,0,0,0,0,0,99825
5,135,20220418,7,0,3309,3572,4172,1239,0,0,0,0,0,0,14104
38,104,20220413,4,1,12251,12740,3836,273,0,0,0,0,0,0,75558
79,68,20220414,13,0,4749,13518,1561,1687,0,0,0,0,0,0,7923
117,42,20220421,12,0,1628,3935,996,475,0,0,0,0,0,1,43473
89,54,20220419,2,0,6278,14613,3622,897,0,0,0,0,0,0,11324
28,76,20220421,11,1,17640,18639,69,1324,0,0,0,0,0,0,92216
114,55,20220413,0,0,6641,9473,3655,707,0,0,0,0,0,1,12696
122,40,20220417,6,0,6893,17202,649,954,0,0,0,0,0,0,55811
